sent + recording 127.0.0.1:30002 -> results/T09_slow_r1.baseline.csv  (Ctrl-C to stop)

  4353 samples    31.5s
  4386 samples    31.8s
  4420 samples    32.0s
  4455 samples    32.3s
  4490 samples    32.6s
  4525 samples    32.8s
  4560 samples    33.1s
  4595 samples    33.3s
  4630 samples    33.6s
  4665 samples    33.8s
  4700 samples    34.1s
  4735 samples    34.3s
  4769 samples    34.6s
  4805 samples    34.8s
  4840 samples    35.1s
  4875 samples    35.3s
  4910 samples    35.6s
  4945 samples    35.8s
  4980 samples    36.1s
  5015 samples    36.3s
  5050 samples    36.6ssent + recording 192.168.1.100:30002 -> results/T09_fast_r1.ppo.csv  (Ctrl-C to stop)

  39 samples     0.3s
  74 samples     0.5s
  109 samples     0.8s
  144 samples     1.0s
  179 samples     1.3s
  214 samples     1.5s
  249 samples     1.8s
  284 samples     2.0s
  319 samples     2.3s
  354 samples     2.5s
  389 samples     2.8s
  424 samples     3.0s
  459 samples     3.3s
  494 samples     3.5s
  529 samples     3.8s
  564 samples     4.0s
  599 samples     4.3s
  634 samples     4.5s
  667 samples     4.8s
  700 samples     5.0s
  733 samples     5.3s
  766 samples     5.6s
  799 samples     5.8s
  832 samples     6.1s
  865 samples     6.3s
  898 samples     6.6s
  931 samples     6.8s
  964 samples     7.1s
  997 samples     7.3s
  1030 samples     7.6s
  1063 samples     7.8s
  1096 samples     8.1s
  1131 samples     8.3s
  1166 samples     8.6s
  1201 samples     8.8s
  1236 samples     9.1s
  1271 samples     9.3s
  1306 samples     9.6s
  1341 samples     9.8s
  1369 samples    10.1s
  1418 samples    10.4s
  1453 samples    10.6s
  1488 samples    10.9s
  1523 samples    11.2s
  1558 samples    11.4s
  1593 samples    11.7s
  1628 samples    11.9s
  1663 samples    12.2s
  1698 samples    12.4s
  1733 samples    12.7s
  1768 samples    12.9s
  1803 samples    13.2s
  1838 samples    13.4s
  1873 samples    13.7s
  1908 samples    13.9s
  1943 samples    14.2s
  1978 samples    14.4s
  2005 samples    14.7s
  2049 samples    14.9s
  2084 samples    15.2s
  2119 samples    15.4s
  2154 samples    15.7s
  2189 samples    15.9s
  2224 samples    16.2s
  2259 samples    16.5s
  2294 samples    16.7s
  2329 samples    17.0s
  2364 samples    17.2s
  2399 samples    17.5s
  2433 samples    17.7s
  2469 samples    18.0s
  2504 samples    18.2s
  2539 samples    18.5s
  2574 samples    18.7s
  2609 samples    19.0s
  2644 samples    19.2s
  2679 samples    19.5s
  2714 samples    19.7s
  2749 samples    20.0s
  2784 samples    20.2s
  2819 samples    20.5s
  2854 samples    20.7s
  2889 samples    21.0s
  2924 samples    21.2s
  2959 samples    21.5s
  2994 samples    21.7s
  3029 samples    22.0s
  3064 samples    22.2s
  3099 samples    22.5s
  3134 samples    22.8s
  3169 samples    23.0s
  3204 samples    23.3s
  3239 samples    23.5s
  3274 samples    23.8s
  3309 samples    24.0s
  3344 samples    24.3s
  3379 samples    24.5s
  3415 samples    24.8s
  3450 samples    25.0s
  3485 samples    25.3s
  3520 samples    25.5ssent + recording 192.168.1.100:30002 -> results/T09_fast_r2.baseline.csv  (Ctrl-C to stop)

  40 samples     0.3s
  76 samples     0.5s
  104 samples     0.8s
  147 samples     1.0s
  182 samples     1.3ssent + recording 192.168.1.100:30002 -> results/T09_fast_r1.baseline.csv  (Ctrl-C to stop)

  19 samples     0.3s
  36 samples     0.5s
  55 samples     0.8s
  73 samples     1.0s
  91 samples     1.3s
  109 samples     1.6s
  126 samples     1.8s
  144 samples     2.1s
  162 samples     2.3s
  180 samples     2.6s
  198 samples     2.8s
  216 samples     3.1s
  234 samples     3.4s
  251 samples     3.6s
  270 samples     3.9s
  288 samples     4.1s
  306 samples     4.4s
  324 samples     4.7s
  342 samples     4.9s
  360 samples     5.2s
  378 samples     5.4s
  396 samples     5.7s
  414 samples     6.0s
  432 samples     6.2s
  450 samples     6.5s
  468 samples     6.7s
  486 samples     7.0s
  504 samples     7.3s
  522 samples     7.5s
  540 samples     7.8s
  558 samples     8.0s
  576 samples     8.3s
  593 samples     8.6s
  610 samples     8.8s
  627 samples     9.1s
  644 samples     9.3s
  661 samples     9.6s
  678 samples     9.8s
  696 samples    10.2s
  719 samples    10.4s
  737 samples    10.7s
  755 samples    11.0s
  773 samples    11.2s
  791 samples    11.5s
  810 samples    11.7s
  828 samples    12.0s
  846 samples    12.3s
  864 samples    12.5s
  882 samples    12.8s
  900 samples    13.0s
  918 samples    13.3s
  936 samples    13.6s
  954 samples    13.8s
  972 samples    14.1s
  990 samples    14.3s
  1008 samples    14.6s
  1026 samples    14.9s
  1044 samples    15.1s
  1062 samples    15.4s
  1080 samples    15.7s
  1104 samples    16.0s
  1121 samples    16.2s
  1138 samples    16.5s
  1153 samples    16.8s
  1171 samples    17.0s
  1188 samples    17.3s
  1205 samples    17.5s
  1222 samples    17.8s
  1240 samples    18.0s
  1258 samples    18.3s
  1276 samples    18.6s
  1294 samples    18.8s
  1312 samples    19.1s
  1330 samples    19.3s
  1348 samples    19.6s
  1366 samples    19.9s
  1384 samples    20.1s
  1402 samples    20.4s
  1420 samples    20.6s
  1438 samples    20.9s
